,CityName,DataSource,Data_Value,Data_Value_Type,Data_Value_Unit,GeographicLevel,Measure,MeasureId,PopulationCount,StateAbbr,TractFIPS,Year
537,Chicago,BRFSS,12.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1516,IL,17031560400,2017
563,Chicago,BRFSS,6.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3020,IL,17031221400,2017
575,Chicago,BRFSS,13.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1955,IL,17031400400,2017
588,Chicago,BRFSS,7.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,281,IL,17031810400,2017
597,Chicago,BRFSS,17.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2341,IL,17031842900,2017
612,Chicago,BRFSS,19.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5247,IL,17031491000,2017
647,Chicago,BRFSS,16.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2366,IL,17031660700,2017
694,Chicago,BRFSS,17.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,6570,IL,17031834300,2017
714,Peoria,BRFSS,15.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2021,IL,17143001300,2017
750,Chicago,BRFSS,13.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4654,IL,17031301600,2017
763,Chicago,BRFSS,5.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2764,IL,17031242400,2017
776,Chicago,BRFSS,7.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1640,IL,17031411200,2017
780,Chicago,BRFSS,13.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2290,IL,17031010503,2017
794,Chicago,BRFSS,9.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2223,IL,17031620200,2017
795,Chicago,BRFSS,17.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2033,IL,17031480100,2017
802,Chicago,BRFSS,11.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5923,IL,17031700401,2017
830,Joliet,BRFSS,9.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3421,IL,17197881700,2017
847,Elgin,BRFSS,11.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,7134,IL,17089851400,2017
858,Decatur,BRFSS,12.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4705,IL,17115002904,2017
860,Evanston,BRFSS,10.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4002,IL,17031810301,2017
861,Peoria,BRFSS,10.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4014,IL,17143002900,2017
863,Joliet,BRFSS,12.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1255,IL,17197883208,2017
917,Chicago,BRFSS,9.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5161,IL,17031110300,2017
963,Chicago,BRFSS,8.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3204,IL,17031030102,2017
984,Naperville,BRFSS,7.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2608,IL,17043846523,2017
1047,Chicago,BRFSS,11.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4486,IL,17031210502,2017
1081,Chicago,BRFSS,17.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1838,IL,17031710600,2017
1084,Chicago,BRFSS,10.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,7538,IL,17031250500,2017
1115,Peoria,BRFSS,10.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,255,IL,17143004802,2017
1120,Cicero,BRFSS,10.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3934,IL,17031813302,2017
1134,Naperville,BRFSS,8.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4059,IL,17043846203,2017
1156,Chicago,BRFSS,8.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4430,IL,17031120200,2017
1221,Joliet,BRFSS,11.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,878,IL,17197882300,2017
1238,Chicago,BRFSS,5.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3001,IL,17031243400,2017
1240,Decatur,BRFSS,15.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2737,IL,17115000200,2017
1248,Decatur,BRFSS,14.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1292,IL,17115000400,2017
1257,Decatur,BRFSS,16.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2531,IL,17115003100,2017
1261,Chicago,BRFSS,13.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4005,IL,17031301801,2017
1299,Chicago,BRFSS,3.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1421,IL,17031062400,2017
1320,Decatur,BRFSS,11.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2085,IL,17115001700,2017
1350,Peoria,BRFSS,7.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,9768,IL,17143003401,2017
1368,Chicago,BRFSS,8.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,7540,IL,17031150200,2017
1377,Chicago,BRFSS,8.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4980,IL,17031170500,2017
1378,Chicago,BRFSS,9.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2838,IL,17031410900,2017
1388,Chicago,BRFSS,17.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4273,IL,17031530300,2017
1389,Chicago,BRFSS,4.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4595,IL,17031241400,2017
1391,Chicago,BRFSS,17.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1480,IL,17031260900,2017
1399,Chicago,BRFSS,13.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1900,IL,17031340400,2017
1447,Evanston,BRFSS,7.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3387,IL,17031809100,2017
1474,Joliet,BRFSS,9.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4049,IL,17197881800,2017
1487,Chicago,BRFSS,8.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5161,IL,17031561000,2017
1489,Chicago,BRFSS,5.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3244,IL,17031842300,2017
1539,Chicago,BRFSS,18.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3475,IL,17031711000,2017
1540,Chicago,BRFSS,20.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1953,IL,17031834800,2017
1551,Chicago,BRFSS,11.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2061,IL,17031580800,2017
1565,Chicago,BRFSS,5.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4059,IL,17031081201,2017
1566,Chicago,BRFSS,5.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1820,IL,17031031800,2017
1602,Chicago,BRFSS,12.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1612,IL,17031381400,2017
1611,Chicago,BRFSS,15.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2931,IL,17031491400,2017
1618,Chicago,BRFSS,8.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3066,IL,17031100400,2017
1646,Chicago,BRFSS,12.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2559,IL,17031191000,2017
1647,Chicago,BRFSS,17.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4680,IL,17031430200,2017
1696,Chicago,BRFSS,7.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3009,IL,17031750400,2017
1700,Naperville,BRFSS,7.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3107,IL,17197880303,2017
1719,Peoria,BRFSS,20.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1804,IL,17143000500,2017
1722,Chicago,BRFSS,12.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2997,IL,17031836600,2017
1728,Palatine,BRFSS,8.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,6112,IL,17031803611,2017
1751,Chicago,BRFSS,11.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3965,IL,17031020100,2017
1752,Chicago,BRFSS,14.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2080,IL,17031440600,2017
1772,Elgin,BRFSS,9.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4465,IL,17089851101,2017
1806,Chicago,BRFSS,15.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2045,IL,17031611900,2017
1810,Chicago,BRFSS,7.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3490,IL,17031160601,2017
1822,Chicago,BRFSS,19.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1635,IL,17031670800,2017
1830,Chicago,BRFSS,14.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2240,IL,17031291200,2017
1838,Chicago,BRFSS,15.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1183,IL,17031460600,2017
1846,Chicago,BRFSS,6.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3101,IL,17031010502,2017
1852,Chicago,BRFSS,3.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2940,IL,17031832200,2017
1934,Elgin,BRFSS,8.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5151,IL,17031804403,2017
1954,Chicago,BRFSS,10.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2830,IL,17031030703,2017
1967,Peoria,BRFSS,10.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1835,IL,17143002600,2017
2007,Cicero,BRFSS,12.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2893,IL,17031813801,2017
2030,Chicago,BRFSS,10.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4247,IL,17031830700,2017
2054,Naperville,BRFSS,7.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3083,IL,17043846519,2017
2086,Joliet,BRFSS,10.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1565,IL,17197883214,2017
2142,Chicago,BRFSS,6.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2365,IL,17031050300,2017
2144,Chicago,BRFSS,20.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3109,IL,17031540102,2017
2158,Chicago,BRFSS,5.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,6867,IL,17031060900,2017
2195,Chicago,BRFSS,16.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1527,IL,17031271400,2017
2237,Chicago,BRFSS,8.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1697,IL,17031310300,2017
2270,Chicago,BRFSS,8.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3648,IL,17031150501,2017
2286,Chicago,BRFSS,11.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4012,IL,17031030601,2017
2309,Chicago,BRFSS,18.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3611,IL,17031691400,2017
2314,Chicago,BRFSS,11.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,7270,IL,17031831600,2017
2315,Joliet,BRFSS,7.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,571,IL,17197880417,2017
2368,Chicago,BRFSS,9.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1713,IL,17031170900,2017
2380,Chicago,BRFSS,13.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3603,IL,17031200401,2017
2401,Chicago,BRFSS,5.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2077,IL,17031051400,2017
2405,Chicago,BRFSS,10.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2060,IL,17031835200,2017
2407,Chicago,BRFSS,8.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2557,IL,17031410500,2017
2476,Chicago,BRFSS,4.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3996,IL,17031063302,2017
2485,Chicago,BRFSS,13.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2085,IL,17031837000,2017
2487,Chicago,BRFSS,11.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1943,IL,17031570200,2017
2503,Chicago,BRFSS,19.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2495,IL,17031671600,2017
2507,Chicago,BRFSS,8.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1412,IL,17031130200,2017
2533,Chicago,BRFSS,23.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,389,IL,17031350400,2017
2549,Joliet,BRFSS,16.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4124,IL,17197881200,2017
2559,Chicago,BRFSS,13.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1609,IL,17031611600,2017
2571,Elgin,BRFSS,8.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4552,IL,17089851908,2017
2585,Chicago,BRFSS,16.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2962,IL,17031841500,2017
2598,Joliet,BRFSS,6.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,9749,IL,17093890700,2017
2599,Chicago,BRFSS,18.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5049,IL,17031710200,2017
2603,Chicago,BRFSS,10.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1268,IL,17031390100,2017
2620,Chicago,BRFSS,12.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1666,IL,17031500300,2017
2626,Chicago,BRFSS,4.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1391,IL,17031050900,2017
2636,Chicago,BRFSS,7.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3785,IL,17031160300,2017
2642,Chicago,BRFSS,11.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,7107,IL,17031630800,2017
2643,Chicago,BRFSS,7.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2703,IL,17031283100,2017
2648,Decatur,BRFSS,11.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3485,IL,17115001100,2017
2673,Chicago,BRFSS,9.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2730,IL,17031839800,2017
2685,Chicago,BRFSS,11.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5399,IL,17031230900,2017
2704,Palatine,BRFSS,8.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,7143,IL,17031803606,2017
2765,Chicago,BRFSS,10.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2955,IL,17031190701,2017
2775,Chicago,BRFSS,15.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3404,IL,17031460301,2017
2776,Chicago,BRFSS,3.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1317,IL,17031240300,2017
2784,Evanston,BRFSS,10.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3301,IL,17031809600,2017
2789,Chicago,BRFSS,19.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3649,IL,17031251600,2017
2814,Chicago,BRFSS,9.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3699,IL,17031600900,2017
2826,Chicago,BRFSS,16.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3127,IL,17031440102,2017
2827,Peoria,BRFSS,8.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4710,IL,17143002300,2017
2852,Chicago,BRFSS,17.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2424,IL,17031730100,2017
2856,Chicago,BRFSS,6.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4402,IL,17031031100,2017
2858,Chicago,BRFSS,3.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3727,IL,17031832600,2017
2872,Chicago,BRFSS,17.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4140,IL,17031292500,2017
2915,Naperville,BRFSS,7.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3022,IL,17043846105,2017
2923,Chicago,BRFSS,7.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1766,IL,17031220601,2017
2950,Chicago,BRFSS,10.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5960,IL,17031660400,2017
2964,Chicago,BRFSS,10.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,6450,IL,17031010201,2017
2968,Chicago,BRFSS,10.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3156,IL,17031640700,2017
2972,Joliet,BRFSS,13.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2633,IL,17197882801,2017
3015,Chicago,BRFSS,11.1,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4340,IL,17031020602,2017
3017,Chicago,BRFSS,19.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1451,IL,17031843400,2017
3050,Chicago,BRFSS,9.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,7453,IL,17031831100,2017
3062,Chicago,BRFSS,13.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2213,IL,17031420800,2017
3068,Elgin,BRFSS,6.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1453,IL,17031804507,2017
3097,Chicago,BRFSS,3.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2724,IL,17031062700,2017
3109,Chicago,BRFSS,3.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2944,IL,17031071100,2017
3195,Peoria,BRFSS,10.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3024,IL,17143003300,2017
3213,Chicago,BRFSS,17.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3115,IL,17031730202,2017
3260,Chicago,BRFSS,16.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3533,IL,17031843900,2017
3262,Chicago,BRFSS,5.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3656,IL,17031031000,2017
3263,Elgin,BRFSS,9.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5091,IL,17031804406,2017
3269,Joliet,BRFSS,9.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3075,IL,17197882702,2017
3278,Chicago,BRFSS,17.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1667,IL,17031530502,2017
3311,Chicago,BRFSS,5.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,6345,IL,17031063200,2017
3316,Chicago,BRFSS,12.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3515,IL,17031580200,2017
3318,Chicago,BRFSS,6.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5369,IL,17031030200,2017
