,year,org_id,loan_amt,entity_structure,structure_edit,total_proj_cost,loan_pct,food_desert,food_desert_2,hffi_year,proj_desc,bus_type,activity,activity_2,activity_3,activity_other,latitude,longitude,street,address_2,city,state,zipcode,zipcode_4,fips,address,location,point,lat,long,alt,
10,2018,1583,100000,NONPROFIT,Nonprofit,300000,0.33,ERS,,2017,"Recent studies showed median household income of $32,699. The redevelopment plan includes new housing, and as a USDA Food Desert, a grocery store is vital and will be the anchor of the CRA redevelopment project.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,28.292544,-81.40990078,5800 Main Street,,New Port Richey,FL,34652,,12101031401,"5800 Main Street,New Port Richey,FL,34652","5800, Main Street, New Port Richey, Pasco County, Florida, 34652, United States of America","(28.25014373348202, -82.71875694591706, 0.0)",28.25014373,-82.71875695,0,
11,2018,1583,100000,NONPROFIT,Nonprofit,100000,1,ERS,,2017,"Recent studies showed median household income of $32,699. The redevelopment plan includes new housing, and as a USDA Food Desert, a grocery store is vital and will be the anchor of the CRA redevelopment project.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,28.26180882,-81.23312463,5800 Main Street,,New Port Richey,FL,34652,,12101031401,"5800 Main Street,New Port Richey,FL,34652","5800, Main Street, New Port Richey, Pasco County, Florida, 34652, United States of America","(28.25014373348202, -82.71875694591706, 0.0)",28.25014373,-82.71875695,0,
12,2018,1583,400000,NONPROFIT,Nonprofit,781000,0.51,ERS,,2017,"Fresh Choice Market Placeï¿½is the sole full-service grocery store for approximately 23,000 residents of Fort Meade. The city of Fort Meade, in rural Polk County Florida, has been designated as a Food Desert by the USDA.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,27.74808162,-81.80154162,201 S. Charleston Avenue,,Ft. Meade,FL,33841,,12105016002,"201 S. Charleston Avenue,Ft. Meade,FL,33841","Charleston Avenue, Fort Meade, Polk County, Florida, 33841, United States of America","(27.7513553, -81.8014232, 0.0)",27.7513553,-81.8014232,0,
13,2018,1583,300000,NONPROFIT,Nonprofit,300000,1,ERS,,2017,"Fresh Choice Market Placeï¿½is the sole full-service grocery store for approximately 23,000 residents of Fort Meade. The city of Fort Meade, in rural Polk County Florida, has been designated as a Food Desert by the USDA.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,27.748998,-81.80144195,201 S. Charleston Avenue,,Ft. Meade,FL,33841,,12105016002,"201 S. Charleston Avenue,Ft. Meade,FL,33841","Charleston Avenue, Fort Meade, Polk County, Florida, 33841, United States of America","(27.7513553, -81.8014232, 0.0)",27.7513553,-81.8014232,0,
14,2018,1288,375000,TRIBAL,Tribal,8926256,0.04,ERS,,2014,Grocery store,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,47.8691329,-95.0270829,PO Box 545,,Red Lake,MN,56671,,27007940001,"PO Box 545,Red Lake,MN,56671",,,48.0638265,-95.1856852,,
15,2018,2131,3000000,FORPROFIT,Forprofit,3477000,0.86,ERS,,2016,Grocery store. Census tract is located directly next to a USDA-designed Low-Income/Low Access census tract with a 52.47% Median Family Income.,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,37.45932071,-122.4331797,3103 Myrtle Street,,Oakland,CA,94608,,6001401500,"3103 Myrtle Street,Oakland,CA,94608","3103, Myrtle Street, Hoover-Foster, Oakland, Alameda County, California, 94608, United States of America","(37.821598267581834, -122.27736928475657, 0.0)",37.82159827,-122.2773693,0,
16,2018,2131,267126,FORPROFIT,Forprofit,1985000,0.13,ERS,,2016,Grocery store. Census tract is located directly next to a USDA-designed Low-Income/Low Access census tract with a 52.47% Median Family Income.,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,37.942505,-122.4910369,3103 Myrtle Street,,Oakland,CA,94608,,6001401500,"3103 Myrtle Street,Oakland,CA,94608","3103, Myrtle Street, Hoover-Foster, Oakland, Alameda County, California, 94608, United States of America","(37.821598267581834, -122.27736928475657, 0.0)",37.82159827,-122.2773693,0,
17,2018,2131,477000,FORPROFIT,Forprofit,3477000,0.14,ERS,,2017,Grocery store. Census tract is located directly next to a USDA-designed Low-Income/Low Access census tract with a 52.47% Median Family Income.,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,37.82192995,-122.2771138,3103 Myrtle Street,,Oakland,CA,94608,,6001401500,"3103 Myrtle Street,Oakland,CA,94608","3103, Myrtle Street, Hoover-Foster, Oakland, Alameda County, California, 94608, United States of America","(37.821598267581834, -122.27736928475657, 0.0)",37.82159827,-122.2773693,0,
18,2018,2131,374889,NONPROFIT,Nonprofit,3316534,0.11,ERS,,2017,"Community wellness hub with a produce stand, commercial kitchen, distribution center, & offices. Census tract directly adjacent to a USDA-designated LSA census tract with a Median Family Income of 56.44%",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,37.82192995,-122.2771138,6569 S Vermont Ave,,Los Angeles,CA,90044,,6037237401,"6569 S Vermont Ave,Los Angeles,CA,90044","South Vermont Avenue, Westmont, Los Angeles, Los Angeles County, California, 90044, United States of America","(33.9589663, -118.2917915, 0.0)",33.9589663,-118.2917915,0,
19,2018,1985,102395,FORPROFIT,Forprofit,102395,1,ERS,,2016,Healthy food manufacturer locally sourced selling mainly in local farmer's markets,NONRETAIL,PRODUCTION,Production,Production and Distribution,,39.6182689,-104.7713197,P. O. Box 461952,,Aurora,CO,80046,1952,8059011720,"P. O. Box 461952,Aurora,CO,80046",,,39.6949354,-105.173187,,
20,2018,1985,26075,FORPROFIT,Forprofit,26075,1,ERS,,2016,Healthy food manufacturer locally sourced selling mainly in local farmer's markets,NONRETAIL,PRODUCTION,Production,Production and Distribution,,39.6182689,-104.7713197,P. O. Box 461952,,Aurora,CO,80046,1952,8059011720,"P. O. Box 461952,Aurora,CO,80046",,,39.6949354,-105.173187,,
21,2018,1985,127905,FORPROFIT,Forprofit,127905,1,ERS,,2016,Fresh produce & meat distributor targetting loacal hispanic populations.,NONRETAIL,DISTRIBUTION,Distribution,Production and Distribution,,39.78287872,-104.9269663,"4770 Forest Street, Suite E",,Denver,CO,80216,,8031004101,"4770 Forest Street, Suite E,Denver,CO,80216",,,39.783154,-104.926994,,
22,2018,1985,1000000,FORPROFIT,Cooperative,1000000,1,ERS,,2016,Grocery store located in food dessert owned by employee co-op,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,39.78443831,-104.809592,4810 Chambers Road,,Denver,CO,80239,,8031008388,"4810 Chambers Road,Denver,CO,80239","4810, Chambers Road, Denver, Denver County, Colorado, 80239, United States of America","(39.784212249999996, -104.8078060845308, 0.0)",39.78421225,-104.8078061,0,
23,2018,1985,52195,FORPROFIT,Forprofit,52195,1,ERS,,2016,Ethnic grocery store selling fresh produce,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,39.65294477,-104.8104778,15256 East Hampden Avenue,,Aurora,CO,80014,,8005083800,"15256 East Hampden Avenue,Aurora,CO,80014","15256, East Hampden Avenue, Hampden Village, Aurora, Arapahoe County, Colorado, 80014, United States of America","(39.65293707932365, -104.81071438264004, 0.0)",39.65293708,-104.8107144,0,
24,2018,1985,31140,FORPROFIT,Forprofit,31140,1,ERS,,2016,Ethnic grocery store selling fresh produce,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,39.74024152,-104.8574205,11201 East Colfax Avenue,,Aurora,CO,80010,,8001007802,"11201 East Colfax Avenue,Aurora,CO,80010","East Colfax Avenue, Sable, Aurora, Arapahoe County, Colorado, 80010, United States of America","(39.74011, -104.8595895, 0.0)",39.74011,-104.8595895,0,
25,2018,575,200000,NONPROFIT,Nonprofit,290470,0.69,ERS,,2015,"Building acquisition and start-up costs for new corner store focused primarily on fresh meats, fruits, vegetables, dairy products and other healthy food items.",RETAIL,CORNERSTORE,Corner Store,Corner store,,40.45721606,-79.8917062,519 Saint Clair,,Clairton,PA,15025,,42003492800,"519 Saint Clair,Clairton,PA,15025",,,40.29306,-79.88601,,
26,2018,575,100000,NONPROFIT,Nonprofit,499900,0.2,ERS,,2015,Start-up food program where existing non-profit uses foods rescued from disposal by grocery stores to prepare fresh meals for delivery to those in need as an alternative to fast or frozen food.,RETAIL,OTHER,Other,Other,Non-Profit Healthy Food Access Program,40.46523062,-79.86538415,112 E. Sherman Street,,Pittsburgh,PA,15209,,42003427000,"112 E. Sherman Street,Pittsburgh,PA,15209",,,40.47936,-79.971954,,
27,2018,457,200000,NONPROFIT,Cooperative,3638000,0.05,,,2014,Expand cooperative grocery store,RETAIL,COOPERATIVE,Grocery Store,Grocery Store,,42.19312048,-73.36102178,42 Bridge St,,Great Barrington,MA,1230,,25003,"42 Bridge St,Great Barrington,MA,1230","Berkshire Cooperative Market, 42, Bridge Street, Berkshire Heights, Great Barrington, Berkshire County, Massachusetts, 01230, United States of America","(42.1931277, -73.3613736, 0.0)",42.1931277,-73.3613736,0,
28,2018,1723,742500,TRIBAL,Tribal,1616010,0.46,OTHER,"Native American land, LSA, vehicle",2015,Perm financing take out construction of Grocery,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,35.39319566,-97.08948836,3467 S. McLoud,,McLoud,OK,74851,,40125501001,"3467 S. McLoud,McLoud,OK,74851",,,35.392009,-97.088699,,
29,2018,1723,873510,TRIBAL,Tribal,1600600,0.55,OTHER,"Native American land, LSA, vehicle",2017,Perm financing takeout construction of stor,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,35.39319566,-97.08948836,3467 S. McLoud,,McLoud,OK,74851,,40125501001,"3467 S. McLoud,McLoud,OK,74851",,,35.392009,-97.088699,,
30,2018,9744,250000,NONPROFIT,Nonprofit,250000,1,ERS,,2015,"Loan proceeds will fund working capital for Eastern Carolina Organics, an existing borrower in Self-Helpï¿½s food systems lending sector. ECO is experiencing rapid growth and is an industry leader in organic produce distribution.",NONRETAIL,DISTRIBUTION,Distribution,Production and Distribution,,35.97876208,-78.87736488,2210 E.Pettigrew St.,,Durham,NC,27703,,37063001400,"2210 E.Pettigrew St.,Durham,NC,27703","2210, East Pettigrew Street, Hayes, Durham, Durham County, North Carolina, 27703, United States of America","(35.978459, -78.877571, 0.0)",35.978459,-78.877571,0,
31,2018,9744,2499260,NONPROFIT,Nonprofit,2499260,1,ERS,,2015,"Loan proceeds will renovate a community center into a wellness hub with a produce stand, cafï¿½, commercial kitchen, and distribution center. Financing will increase food security for local residents and build a stronger food system in a food desert",RETAIL,FARMERSMKT,Farmers Market,Farmers Market,,33.97927914,-118.2918459,6569 S. Vermont Ave.,,Los Angeles,CA,90044,,6037237500,"6569 S. Vermont Ave.,Los Angeles,CA,90044","South Vermont Avenue, Westmont, Los Angeles, Los Angeles County, California, 90044, United States of America","(33.9589663, -118.2917915, 0.0)",33.9589663,-118.2917915,0,
32,2018,1821,350000,FORPROFIT,Forprofit,3500000,0.1,ERS,,2015,"Creation of 137,000 SF for warehouse and production space, including for-rent commerical kitchen areas. Continguous to 4 food desert census tracts.",NONRETAIL,DISTRIBUTION,Distribution,Production and Distribution,,41.48952675,-81.71167263,7501 Carnegie Avenue,,Cleveland,OH,44103,4809,39035113101,"7501 Carnegie Avenue,Cleveland,OH,44103","7501, Carnegie Avenue, East Eightyninth Street Historic District, Hough, Cleveland, Cuyahoga County, Ohio, 44103, United States of America","(41.501437, -81.63513370469798, 0.0)",41.501437,-81.6351337,0,
33,2018,1821,250000,FORPROFIT,Forprofit,526045,0.48,ERS,,2017,"Borrower is a dried fruit snack producer, using organic products.  Hiring and employment focused on people with developmental disabilities in a supporting work environment.  New production facility located in a LI, LA (1/2 mile) food desert per USDA ERS.",NONRETAIL,PRODUCTION,Production,Production and Distribution,,41.01289651,-81.60256308,101 East Tuscarawas Road,,Barberton,OH,44203,2627,39153510301,"101 East Tuscarawas Road,Barberton,OH,44203",,,41.013077,-81.602408,,
34,2018,1821,226045,FORPROFIT,Forprofit,526045,0.43,ERS,,2017,"Borrower is a dried fruit snack producer, using organic products. Hiring and employment focused on people with developmental disabilities in a supportive work environment. New production facility located in a LI, LA (1/2 mile) food desert per USDA ERS.",NONRETAIL,PRODUCTION,Production,Production and Distribution,,41.01289651,-81.60256308,101 East Tuscarawas Road,,Barberton,OH,44203,2627,39153510301,"101 East Tuscarawas Road,Barberton,OH,44203",,,41.013077,-81.602408,,
35,2018,1278,1500000,NONPROFIT,Nonprofit,7000000,0.21,TRF,,2017,"The main goal of this grocery stores is to fill a void in the community and provide access to fresh food. The grocery store will include fresh and locally sourced produce when available, food demonstrations to teach healthy cooking, etc.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,"New Retail Grocery Store in Food Desert, located in church hill neighborhood of Richmond, VA.",37.54081076,-77.41018085,1330 N 25th St,,Richmond,VA,23223,,51760020300,"1330 N 25th St,Richmond,VA,23223","The Market at 25th, 1330, North 25th Street, Creighton Court, Fairmount, Richmond, Richmond City, Virginia, 23223, United States of America","(37.54105615, -77.41074838137541, 0.0)",37.54105615,-77.41074838,0,
36,2018,497,3719000,NONPROFIT,Nonprofit,21579554,0.17,ERS,,2016,"Food Bank and distribution center to serve counties in Mississippi, Tennessee and Arkansas",NONRETAIL,OTHER,Distribution,Production and Distribution,Emergency Food,39.31870013,-76.64816865,3834 Knight Road,,Memphis,TN,38118,,47157022600,"3834 Knight Road,Memphis,TN,38118","3834, Knight Road, Parkway Village, Memphis, Shelby County, Tennessee, 38118, United States of America","(35.04390216666667, -89.91129725, 0.0)",35.04390217,-89.91129725,0,
37,2018,497,1800000,FORPROFIT,Forprofit,1996500,0.9,ERS,,2018,Renovation and remodel of a full-service conventional store.,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,40.45233444,-74.37874635,1575 N. 52nd Street,,Philadelphia,PA,19131,,42101011100,"1575 N. 52nd Street,Philadelphia,PA,19131","1575, North 52nd Street, Parkside, Philadelphia, Philadelphia County, Pennsylvania, 19131, United States of America","(39.979515, -75.225201, 0.0)",39.979515,-75.225201,0,
38,2018,823,85000,FORPROFIT,Forprofit,354900,0.24,ERS,,2017,"To make leasehold improvements, purchase equipment, and secure working capital for a new grocery operation located at 1001-1005 15th Street, East St. Louis, IL.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,41.97428187,-87.71346715,1001-1005 15th St,N\A,East St Louis,IL,62205,,17163504600,"1001-1005 15th St,East St Louis,IL,62205","15th Street, Granite City, Madison, Illinois, 62040, United States of America","(38.693925, -90.155311, 0.0)",38.693925,-90.155311,0,
39,2018,823,1000000,FORPROFIT,Forprofit,7300000,0.14,ERS,,2017,Refinance NMTC debt on Cermak Fresh Market,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,43.01471637,-87.9678149,1621-1633 Miller Park Way,N\A,Milwaukee,WI,53214,,55079110100,"1621-1633 Miller Park Way,Milwaukee,WI,53214",,,43.01361,-87.967636,,
40,2018,823,1000000,FORPROFIT,Forprofit,7300000,0.14,ERS,,2017,Refinance NMTC debt on Cermak Fresh Market,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,43.01471637,-87.9678149,1541 Miller Park Way,N\A,Milwaukee,WI,53214,,55079110100,"1541 Miller Park Way,Milwaukee,WI,53214","Cermak Fresh Market, 1541, Miller Park Way, West Milwaukee, Milwaukee County, Wisconsin, 53214, United States of America","(43.014427600000005, -87.97018127376447, 0.0)",43.0144276,-87.97018127,0,
41,2018,823,920000,FORPROFIT,Forprofit,7300000,0.13,ERS,,2017,Refinance NMTC debt on Strip mall in conjuction with Cermak Fresh Market property,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,38.70043023,-90.2909665,1621-1633 Miller Park Way,N\A,Milwaukee,WI,53214,,55079110100,"1621-1633 Miller Park Way,Milwaukee,WI,53214",,,43.01361,-87.967636,,
42,2018,823,920000,FORPROFIT,Forprofit,7300000,0.13,ERS,,2017,Refinance NMTC debt on Strip mall in conjuction with Cermak Fresh Market property,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,38.52327433,-90.66382642,1541 Miller Park Way,N\A,Milwaukee,WI,53214,,55079110100,"1541 Miller Park Way,Milwaukee,WI,53214","Cermak Fresh Market, 1541, Miller Park Way, West Milwaukee, Milwaukee County, Wisconsin, 53214, United States of America","(43.014427600000005, -87.97018127376447, 0.0)",43.0144276,-87.97018127,0,
43,2018,823,50000,NONPROFIT,Nonprofit,397372,0.13,ERS,,2018,"The purpose of this Loan A and Loan B request is for IFF to provide a bridge loan and a refinance loan to complete Phase III of the Concord Building redevelopment located at 3802 N. Illinois St., Indianapolis, IN 46208.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,39.80732152,-86.17975166,3802 N Illinois St,N\A,Indianapolis,IN,46208,,18097322000,"3802 N Illinois St,Indianapolis,IN,46208","3802, North Illinois Street, North Meridian Street Historic District, Shooters Hill, Indianapolis, Marion County, Indiana, 46208, United States of America","(39.825074050000005, -86.15931035, 0.0)",39.82507405,-86.15931035,0,
44,2018,1575,613300,FORPROFIT,Forprofit,613300,1,ERS,USDALILA,2017,"Legends Market, will give the residents of Grambling quick access to fresh produce, meat, a deli with fresh cooked items.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,33.52016274,-90.17650506,169 N. 1st Street,,Gloster,MS,39638,,28005950200,"169 N. 1st Street,Gloster,MS,39638","169, 1st Street, Gloster, Amite County, Mississippi, 39638, United States of America","(31.196920030751237, -91.0201950484075, 0.0)",31.19692003,-91.02019505,0,
45,2018,1575,584110,FORPROFIT,Forprofit,1231980,0.47,ERS,USDALILA,2017,"Legends Market, will give the residents of Grambling quick access to fresh produce, meat, a deli with fresh cooked items.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,32.52023352,-90.09522972,"10606 Coursey Boulevard, Suite B",,Baton Rouge,LA,70816,,22061960300,"10606 Coursey Boulevard, Suite B,Baton Rouge,LA,70816",,,30.41749,-91.06808,,
46,2018,110,750000,FORPROFIT,Cooperative,2376703,0.32,TRF,,2017,Food Co-op (Urban Greens) in LSA Providence Cty RI 3; inc. 5300 sq. ft. retail and 3075 of other,RETAIL,COOPERATIVE,Grocery Store,Grocery Store,,41.81613024,-71.42381149,93 Cranston Street,,Providence,RI,2909,,44007001200,"93 Cranston Street,Providence,RI,2909",,,41.816432,-71.42442,,
47,2018,1574,294390,FORPROFIT,Forprofit,877000,0.34,ERS,USDALILA,2017,"Legends Market, will give the residents of Grambling quick access to fresh produce, meat, a deli with fresh cooked items.",RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,32.52023352,-90.09522972,10606 Coursey Boulevard,Suite B,Baton Rouge,LA,70816,,22061960300,"10606 Coursey Boulevard,Baton Rouge,LA,70816","10606, Coursey Boulevard, Airline Acres, Baton Rouge, East Baton Rouge Parish, Louisiana, 70816, United States of America","(30.416830667713278, -91.06948202616425, 0.0)",30.41683067,-91.06948203,0,
48,2018,448,3650000,FORPROFIT,Forprofit,30233461,0.12,ERS,,2017,"Tenants include: Fresh Box Farms, which is a hydroponic farm that produces leafy greens; Bears BBQ food production and processing, which both supplies local BBQ restaurants, and a food incubator space supporting up to 10 food production businesses.",NONRETAIL,PRODUCTION,Production,Production and Distribution,,41.79296529,-72.68152736,10 and 60 Love Lane,,Hartford,CT,6112,,9003501200,"10 and 60 Love Lane,Hartford,CT,6112","10, Love Lane, Northeast, Parkville, Hartford, Hartford County, Connecticut, 06112, United States of America","(41.79163581670617, -72.6812976011977, 0.0)",41.79163582,-72.6812976,0,
49,2018,1189,500000,FORPROFIT,Forprofit,500000,1,ERS,,2015,Grocery store in food desert serving urban & rural communities creating job opportunities,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,Not Applicable,37.24132502,-96.9737353,4229 Southwest Blvd,,Tulsa,OK,74107,,40143004700,"4229 Southwest Blvd,Tulsa,OK,74107","4229, Southwest Boulevard, Red Fork, Tulsa, Tulsa County, Oklahoma, 74107, United States of America","(36.10287697337544, -96.02546696800339, 0.0)",36.10287697,-96.02546697,0,
50,2018,1189,1800000,FORPROFIT,Forprofit,9035050,0.2,ERS,,2015,Grocery store in food desert serving urban & rural communities creating job opportunities,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,Not Applicable,36.1022882,-96.02623894,1906 East 9th Avenue,,Winfield,KS,67156,,20035493500,"1906 East 9th Avenue,Winfield,KS,67156","Apple Market, 1906, East 9th Avenue, Winfield, Cowley County, Kansas, 67156, United States of America","(37.2425861, -96.9737709, 0.0)",37.2425861,-96.9737709,0,
51,2018,1189,320800,FORPROFIT,Forprofit,320800,1,ERS,,2017,Grocery store in food desert serving urban & rural communities creating job opportunities,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,Not Applicable,38.929527,-76.975794,"2006 Rhode Island Avenue, NE",,Washington,DC,20018,,11001009400,"2006 Rhode Island Avenue, NE,Washington,DC,20018","Rhode Island Avenue, Kaywood Gardens, Mount Rainier, Prince George's County, District of Columbia, 20781, United States of America","(38.9353288, -76.9632748, 0.0)",38.9353288,-76.9632748,0,
52,2018,308,140000,OTHER,,725000,0.19,ERS,,2016,Financing for the preservation and refinance of grocery store,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,37.70144796,-82.18496032,743 WV-65,,Delbarton,WV,25670,,54059957300,"743 WV-65,Delbarton,WV,25670","WV 65, Burch, Delbarton, Mingo County, West Virginia, 25670, United States of America","(37.7375756, -82.1943199, 0.0)",37.7375756,-82.1943199,0,
53,2018,308,198000,FORPROFIT,Forprofit,198000,1,ERS,,2017,Financing for local health food market,RETAIL,CORNERSTORE,Corner Store,Corner store,,39.83483415,-86.24424033,4375 Georgetown Rd,,Indianapolis,IN,46254,,18097310306,"4375 Georgetown Rd,Indianapolis,IN,46254","4375, Georgetown Road, Indianapolis, Marion County, Indiana, 46254, United States of America","(39.834779096554, -86.24426536509526, 0.0)",39.8347791,-86.24426537,0,
54,2018,308,287000,FORPROFIT,Forprofit,11250972,0.03,ERS,,2015,Financing for for a food-based nonprofit that distributes food into the community,NONRETAIL,DISTRIBUTION,Distribution,Production and Distribution,,39.12591053,-84.4901315,901 E McMillan St,,Cincinnati,OH,45206,,39061001900,"901 E McMillan St,Cincinnati,OH,45206","901, East McMillan Street, Peebles Corner, Walnut Hills, Cincinnati, Hamilton County, Ohio, 45206, United States of America","(39.12578565161258, -84.48913126149735, 0.0)",39.12578565,-84.48913126,0,
55,2018,308,282000,FORPROFIT,Forprofit,11250972,0.03,ERS,,2015,Financing for for a food-based nonprofit that distributes food into the community,NONRETAIL,DISTRIBUTION,Distribution,Production and Distribution,,39.12591053,-84.4901315,901 E McMillan St,,Cincinnati,OH,45206,,39061001900,"901 E McMillan St,Cincinnati,OH,45206","901, East McMillan Street, Peebles Corner, Walnut Hills, Cincinnati, Hamilton County, Ohio, 45206, United States of America","(39.12578565161258, -84.48913126149735, 0.0)",39.12578565,-84.48913126,0,
